diagnostic_name,component,is_current_strict_catalog_gap,test_reachable,strict_diagnostic_covered,pending_direct_request_count,pending_witness_request_count,language_modes,batches,status
err_builtin_x64_aarch64_only,Sema,true,true,false,2,4,c|c++,c17-i386-darwin-target-batch-0017|cpp-i386-varargs-builtin-batch-0001,staged_request_not_an_injector_or_record
err_capture_binding_openmp,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_cast_selector_expr,Sema,true,true,false,1,3,objective-c,objc-bare-unique-batch-0011,staged_request_not_an_injector_or_record
err_catch_param_not_objc_type,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-foundation-batch-0005,staged_request_not_an_injector_or_record
err_category_property,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-foundation-batch-0005,staged_request_not_an_injector_or_record
err_conflicting_ivar_name,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-foundation-batch-0005,staged_request_not_an_injector_or_record
err_defer_ts_labeled_stmt,Parse,true,true,false,2,6,c,c-defer-ts-batch-0001|c11-defer-ts-batch-0014,staged_request_not_an_injector_or_record
err_dup_implementation_class,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-foundation-batch-0005,staged_request_not_an_injector_or_record
err_duplicate_ivar_use,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-foundation-batch-0005,staged_request_not_an_injector_or_record
err_duplicate_property,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-foundation-batch-0005,staged_request_not_an_injector_or_record
err_embedded_directive,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_expected_member_name_or_semi_objcxx_keyword,Parse,true,true,false,1,3,objective-c++,objcxx-bare-parser-batch-0001,staged_request_not_an_injector_or_record
err_expected_objc_container,Parse,true,true,false,1,3,objective-c++,objcxx-bare-parser-batch-0001,staged_request_not_an_injector_or_record
err_expected_selector_for_method,Parse,true,true,false,1,3,objective-c++,objcxx-bare-parser-batch-0001,staged_request_not_an_injector_or_record
err_expected_semi_after_method_proto,Parse,true,true,false,1,3,objective-c++,objcxx-bare-parser-batch-0001,staged_request_not_an_injector_or_record
err_expected_token_instead_of_objcxx_keyword,Parse,true,true,false,1,3,objective-c++,objcxx-bare-parser-batch-0001,staged_request_not_an_injector_or_record
err_export_using_internal,Sema,true,true,false,1,3,c++,cpp23-test-evidenced-special-name-batch-0001,staged_request_not_an_injector_or_record
err_forward_superclass,Sema,true,true,false,1,3,objective-c++,objcxx-bare-parser-batch-0001,staged_request_not_an_injector_or_record
err_function_parameter_limit_exceeded,Parse,true,true,false,1,3,c++,cpp-parser-limit-batch-0001,staged_request_not_an_injector_or_record
err_function_scope_depth_exceeded,Parse,true,true,false,1,3,c++,cpp-parser-limit-batch-0001,staged_request_not_an_injector_or_record
err_gnu_inline_asm_disabled,Parse,true,true,false,2,6,c++,cpp-no-gnu-inline-asm-batch-0001|cpp17-gnu-asm-disabled-batch-0015,staged_request_not_an_injector_or_record
err_hidden_device_kernel,Sema,true,true,false,1,3,c++,cpp23-test-evidenced-special-name-batch-0001,staged_request_not_an_injector_or_record
err_illegal_super_cast,Parse,true,true,false,1,3,objective-c++,objcxx-bare-parser-batch-0001,staged_request_not_an_injector_or_record
err_implied_comparison_category_type_not_found,Sema,true,true,false,1,3,c++,cpp23-test-evidenced-special-name-batch-0001,staged_request_not_an_injector_or_record
err_inconsistent_ivar_count,Sema,true,true,false,1,3,objective-c++,objcxx-bare-parser-batch-0001,staged_request_not_an_injector_or_record
err_init_objc_class,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0002,staged_request_not_an_injector_or_record
err_inline_ms_asm_parsing,Parse,true,true,false,1,3,c++,cpp17-ms-asm-batch-0016,staged_request_not_an_injector_or_record
err_invalid_base_in_interface,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-ms-extensions-batch-0012,staged_request_not_an_injector_or_record
err_invalid_member_in_interface,Common,true,true,false,1,3,objective-c++,objcxx-ms-extensions-batch-0012,staged_request_not_an_injector_or_record
err_invalid_receiver_class_message,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0002,staged_request_not_an_injector_or_record
err_ivar_reference_type,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0002,staged_request_not_an_injector_or_record
err_ivar_use_in_class_method,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0002,staged_request_not_an_injector_or_record
err_mips_builtin_requires_dsp,Sema,true,true,false,1,1,c++,cpp-mips-dsp-builtin-batch-0001,staged_request_not_an_injector_or_record
err_misplaced_ivar,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0002,staged_request_not_an_injector_or_record
err_missing_atsign_prefix,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0002,staged_request_not_an_injector_or_record
err_missing_property_ivar_decl,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0002,staged_request_not_an_injector_or_record
err_nogetter_property_incdec,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0002,staged_request_not_an_injector_or_record
err_nosetter_property_assignment,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0003,staged_request_not_an_injector_or_record
err_objc_attr_not_id,Sema,true,true,false,1,3,objective-c,objc-bare-sema-batch-0003,staged_request_not_an_injector_or_record
err_objc_bridged_related_known_method,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0003,staged_request_not_an_injector_or_record
err_objc_concat_string,Parse,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0003,staged_request_not_an_injector_or_record
err_objc_decls_may_only_appear_in_global_scope,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0003,staged_request_not_an_injector_or_record
err_objc_direct_on_protocol,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0003,staged_request_not_an_injector_or_record
err_objc_direct_protocol_conformance,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0003,staged_request_not_an_injector_or_record
err_objc_directive_only_in_protocol,Parse,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0003,staged_request_not_an_injector_or_record
err_objc_exceptions_disabled,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0004|objcxx-blocks-ms-batch-0013,staged_request_not_an_injector_or_record
err_objc_illegal_boxed_expression_type,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0003,staged_request_not_an_injector_or_record
err_objc_kindof_nonobject,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-sema-batch-0006,staged_request_not_an_injector_or_record
err_objc_literal_method_sig,Sema,true,true,false,1,3,objective-c,objc-bare-unique-batch-0011,staged_request_not_an_injector_or_record
err_objc_missing_end,Parse,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0006,staged_request_not_an_injector_or_record
err_objc_object_assignment,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-sema-batch-0006,staged_request_not_an_injector_or_record
err_objc_object_catch,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-sema-batch-0006,staged_request_not_an_injector_or_record
err_objc_property_attr_mutually_exclusive,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-sema-batch-0006,staged_request_not_an_injector_or_record
err_objc_root_class_subclass,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-sema-batch-0006,staged_request_not_an_injector_or_record
err_objc_runtime_visible_category,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0004|objcxx-bare-sema-batch-0006,staged_request_not_an_injector_or_record
err_objc_synchronized_expects_object,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0006,staged_request_not_an_injector_or_record
err_objc_throw_expects_object,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0007,staged_request_not_an_injector_or_record
err_objc_type_arg_missing,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0004|objcxx-bare-sema-batch-0007,staged_request_not_an_injector_or_record
err_objc_type_arg_not_id_compatible,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0004|objcxx-bare-sema-batch-0007,staged_request_not_an_injector_or_record
err_objc_type_arg_qualified,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0004|objcxx-bare-sema-batch-0007,staged_request_not_an_injector_or_record
err_objc_type_param_bound_explicit_nullability,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0007,staged_request_not_an_injector_or_record
err_objc_type_param_redecl,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0004|objcxx-bare-sema-batch-0007,staged_request_not_an_injector_or_record
err_objc_unexpected_atend,Parse,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0007,staged_request_not_an_injector_or_record
err_objc_unexpected_attr,Parse,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0007,staged_request_not_an_injector_or_record
err_objc_unknown_at,Parse,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0008,staged_request_not_an_injector_or_record
err_objc_var_decl_inclass,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0008,staged_request_not_an_injector_or_record
err_objc_variable_sized_type_not_at_end,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0004|objcxx-bare-sema-batch-0008,staged_request_not_an_injector_or_record
err_objcbridge_related_expected_related_class,Parse,true,true,false,1,3,objective-c,objc-bare-sema-batch-0004,staged_request_not_an_injector_or_record
err_omp_allocator_comma_separator,Parse,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_append_args_with_varargs,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_atomic_not_expression_statement,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_cannot_update_with_internal_linkage,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_declare_variant_incompat_types,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_device_ancestor_without_requires_reverse_offload,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_directive_before_requires,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_expected_interop_type,Parse,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_expected_named_var_member_or_array_expression,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_expected_var_name_member_expr,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_expected_var_name_member_expr_with_type,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_immediate_directive,Parse,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_implied_type_not_found,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_invalid_map_this_expr,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_linear_distribute_var_non_loop_iteration,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_loop_bad_collapse_var,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_more_one_clause,Common,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_no_clause_for_directive,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_no_dsa_for_variable,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_not_a_loop_sequence,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_not_for,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_not_integral,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_prohibited_region,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_reduction_identifier_mismatch,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_reduction_non_addressable_expression,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_required_access,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_scan_single_clause_expected,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_section_stride_non_positive,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_typecheck_section_value,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_unexpected_clause,Parse,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_unexpected_clause_value,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_unexpected_directive,Parse,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_unknown_directive,Parse,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_unknown_need_device_ptr_kind,Parse,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_variant_ctx_second_match_extension,Parse,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_wrong_device_function_call,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_omp_wrong_dsa,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_ownership_returns_index_mismatch,Sema,true,true,false,1,3,c++,cpp23-test-evidenced-special-name-batch-0001,staged_request_not_an_injector_or_record
err_pp_arc_cf_code_audited_syntax,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_directive_required,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_division_by_zero,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_double_begin_pragma_unsafe_buffer_usage,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_embed_device_file,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_empty_filename,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_expected_module_name,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_expected_value_in_expr,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_expects_filename,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_expr_bad_token_binop,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_expr_bad_token_lparen,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_hash_error,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_invalid_directive,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_linemarker_invalid_pop,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_macro_not_identifier,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_missing_lparen_in_vaopt_use,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_missing_macro_name,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_operator_used_as_macro_name,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_unknown_parameter,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_unterminated_conditional,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pp_used_poisoned_id,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_attribute_expected_attribute_syntax,Parse,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_attribute_matcher_subrule_contradicts_rule,Sema,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_attribute_stack_mismatch,Sema,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_attribute_unknown_subject_rule,Parse,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_comment_malformed,Parse,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_comment_unknown_kind,Parse,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_expected_clang_section_name,Parse,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_fc_noprecise_requires_noexcept,Sema,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_file_or_compound_scope,Parse,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_fp_invalid_option,Parse,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_loop_invalid_vectorize_option,Parse,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_message,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_misplaced_in_decl,Parse,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_missing_argument,Parse,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_optimize_extra_argument,Parse,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_options_align_mac68k_target_unsupported,Sema,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_pragma_pack_invalid_alignment,Sema,true,true,false,1,3,c,c-preprocessor-batch-0001,staged_request_not_an_injector_or_record
err_pragma_pop_visibility_mismatch,Sema,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_private_ivar_access,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0008,staged_request_not_an_injector_or_record
err_property_implemented,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-sema-batch-0008,staged_request_not_an_injector_or_record
err_property_ivar_type,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-sema-batch-0008,staged_request_not_an_injector_or_record
err_property_method_unavailable,Sema,true,true,false,1,3,objective-c,objc-bare-sema-batch-0004,staged_request_not_an_injector_or_record
err_property_not_found,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0008,staged_request_not_an_injector_or_record
err_property_type,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0008,staged_request_not_an_injector_or_record
err_protected_ivar_access,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-sema-batch-0009,staged_request_not_an_injector_or_record
err_ptrauth_disabled,Sema,true,true,false,1,3,c++,cpp23-test-evidenced-special-name-batch-0001,staged_request_not_an_injector_or_record
err_restricted_superclass_mismatch,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0004|objcxx-bare-sema-batch-0009,staged_request_not_an_injector_or_record
err_seh_expected_handler,Common,true,true,false,1,3,c,c-ms-seh-batch-0001,staged_request_not_an_injector_or_record
err_selector_element_type,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0009,staged_request_not_an_injector_or_record
err_sme_openmp_captured_region,Sema,true,true,false,1,3,c++,cpp23-openmp-direct-batch-0018,staged_request_not_an_injector_or_record
err_super_in_using_declaration,Parse,true,true,false,2,6,objective-c++,objcxx-ms-extensions-batch-0012|objcxx-super-using-batch-0001,staged_request_not_an_injector_or_record
err_sycl_entry_point_return_type,Sema,true,true,false,1,3,c++,cpp-sycl-profile-batch-0001,staged_request_not_an_injector_or_record
err_sycl_external_invalid_linkage,Sema,true,true,false,1,3,c++,cpp-sycl-profile-batch-0001,staged_request_not_an_injector_or_record
err_sycl_special_type_num_init_method,Sema,true,true,false,1,3,c++,cpp-sycl-profile-batch-0001,staged_request_not_an_injector_or_record
err_synthesize_category_decl,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-sema-batch-0009,staged_request_not_an_injector_or_record
err_synthesize_on_class_property,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-sema-batch-0009,staged_request_not_an_injector_or_record
err_synthesized_property_name,Parse,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0009,staged_request_not_an_injector_or_record
err_synthesizing_arc_weak_property_no_runtime,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0009,staged_request_not_an_injector_or_record
err_typecheck_ivar_variable_size,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0004|objcxx-bare-sema-batch-0009,staged_request_not_an_injector_or_record
err_typecheck_member_reference_ivar,Sema,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0010,staged_request_not_an_injector_or_record
err_undeclared_objc_literal_class,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0004|objcxx-bare-sema-batch-0010,staged_request_not_an_injector_or_record
err_undeclared_protocol,Sema,true,true,false,3,9,objective-c|objective-c++,objc-bare-sema-batch-0003|objc-bare-sema-batch-0004|objcxx-bare-sema-batch-0010,staged_request_not_an_injector_or_record
err_undef_interface,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0004|objcxx-bare-sema-batch-0010,staged_request_not_an_injector_or_record
err_undef_interface_suggest,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0004|objcxx-bare-sema-batch-0010,staged_request_not_an_injector_or_record
err_unexpected_protocol_qualifier,Parse,true,true,false,1,3,objective-c++,objcxx-bare-sema-batch-0010,staged_request_not_an_injector_or_record
err_wasm_funcref_not_wasm,Sema,true,true,false,1,3,c++,cpp23-test-evidenced-special-name-batch-0001,staged_request_not_an_injector_or_record
err_wasm_reference_pr,Sema,true,true,false,1,1,c++,cpp-wasm-reference-batch-0001,staged_request_not_an_injector_or_record
