diag_name,component,in_paper_scope,new_vs_base,strict_records,source_tus,injector_count,languages,projects,strategies,campaign_count,injector_ids
err_access,Sema,true,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-3ebc92d97001bc3e
err_access_base_ctor,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_bootstrap|synthesized_injector_campaign,2,fuzzlang-v1-cf89b1ec5a15ebff
err_access_ctor,Sema,true,false,8,8,1,c++,llvm,synthesized_injector_campaign,1,fuzzlang-v1-1fa6acb0fe0b7430
err_access_decl,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_bootstrap|synthesized_injector_campaign,2,fuzzlang-v1-008293c1c06854f3
err_access_dtor,Sema,true,true,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-dece72b9c3eedb25
err_access_dtor_base,Sema,true,true,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-50463f2ac0aeab44
err_access_dtor_temp,Sema,true,true,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-d9b6b370b30147cc
err_access_dtor_var,Sema,true,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-c00bde7fa9a7a0a2
err_access_field_ctor,Sema,true,true,1,1,1,c++,abseil,gemma_append_witness_injector_replay,1,fuzzlang-v2-c228a45000749286
err_address_of_label_outside_fn,Parse,true,false,2,2,1,c++,llvm,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-b135a774551668ef
err_addrof_function_disabled_by_enable_if_attr,Sema,true,false,3,3,2,c|c++,ffmpeg|llvm,gemma_code_witness_injector_replay|synthesized_injector_campaign,3,fuzzlang-v1-2e0bbeb25f51840d|fuzzlang-v2-674fb7a78f8940c0
err_alias_declaration_not_identifier,Parse,true,false,20,14,1,c++,abseil|llvm,synthesized_injector_campaign,2,fuzzlang-v1-c1a9e685e58f97e9
err_alias_declaration_specialization,Parse,true,false,2,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_alias_is_definition,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-9fbd119558ea0e11
err_alias_template_extra_headers,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-3e6ea93b92c85c68
err_align_value_attribute_argument_not_int,Sema,true,false,2,2,1,c,ffmpeg,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-32b4b61ac0693bef
err_alignas_attribute_wrong_decl_type,Sema,true,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_alignas_mismatch,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-5dcec94b2691562a
err_alignas_missing_on_definition,Sema,true,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_alignas_underaligned,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_bootstrap|synthesized_injector_campaign,2,fuzzlang-v1-034f26502487c4e9
err_aligned_attribute_argument_not_int,Sema,true,false,2,2,1,c++,abseil|llvm,gemma_code_witness_bootstrap|synthesized_injector_campaign,2,fuzzlang-v1-dd265a2d5cd25555
err_alignment_not_power_of_two,Sema,true,false,2,2,1,c++,abseil|llvm,gemma_code_witness_bootstrap|synthesized_injector_campaign,2,fuzzlang-v1-2a1a65d3cc5bcf16
err_alignof_member_of_incomplete_type,Sema,false,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-c7a2d85ab13440af
err_ambiguous_base_to_derived_cast,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-d0ec5af35b737008
err_ambiguous_delete_operand,Sema,true,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-8a873e23724ad76e
err_ambiguous_derived_to_base_conv,Sema,true,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_ambiguous_inherited_constructor,Sema,true,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-af1b3e444968ca07
err_ambiguous_member_multiple_subobject_types,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_bootstrap|gemma_code_witness_injector_replay,2,fuzzlang-v1-5432fc1931c71615
err_ambiguous_member_multiple_subobjects,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-66733d2a904965c2
err_ambiguous_memptr_conv,Sema,true,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_ambiguous_reference,Sema,true,false,1,1,1,c++,llvm,synthesized_injector_campaign,1,fuzzlang-v2-3208467b5e13bdc5
err_anon_bitfield_has_negative_width,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-888dbc1d3ccfdeab
err_anon_bitfield_member_init,Parse,true,false,8,7,3,c++,abseil|llvm,gemma_code_witness_injector_replay|synthesized_injector_campaign,4,fuzzlang-v1-020acb6cf56f9f4d|fuzzlang-v1-63b3c1db68775c40|fuzzlang-v1-930fca44222ffb23
err_anon_bitfield_qualifiers,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-f74db9597a6d3f70
err_anon_type_definition,Parse,true,false,20,16,2,c++,abseil|llvm,synthesized_injector_campaign,3,fuzzlang-v1-f38dde3556d27976|fuzzlang-v1-fe1edab5a173bfac
err_anonymous_enum_bitfield,Parse,true,false,5,5,1,c++,llvm,synthesized_injector_campaign,1,fuzzlang-v1-7a94481666b3f265
err_anonymous_record_member_redecl,Sema,true,false,2,2,1,c,ffmpeg,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-175c731ee832ac91
err_anonymous_record_nonpublic_member,Sema,true,true,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-4040bb5704ce0854
err_anonymous_record_with_function,Sema,true,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-22863acebf0ca4f0
err_anonymous_record_with_type,Sema,true,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_anonymous_struct_not_member,Sema,true,false,1,1,1,c++,llvm,synthesized_injector_campaign,1,fuzzlang-v1-1797e0148cc475a1
err_anonymous_union_not_static,Sema,true,false,3,2,2,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,3,fuzzlang-v2-124d51edc0cc08e2|fuzzlang-v2-c1649ee80d06521e
err_anonymous_union_with_storage_spec,Sema,true,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_anyx86_interrupt_attribute,Sema,false,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_argument_not_power_of_2,Sema,true,false,1,1,1,c++,llvm,gemma_code_witness_injector_replay,1,fuzzlang-v1-1a87383f7e797230
err_argument_required_after_attribute,Parse,true,false,2,2,1,c,ffmpeg,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-2181e9a184972113
err_array_designator_empty_range,Sema,true,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_array_designator_negative,Sema,true,false,2,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_array_designator_too_large,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_bootstrap|synthesized_injector_campaign,2,fuzzlang-v1-8237610520835c4c
err_array_element_alignment,Sema,true,true,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-931b012d35286a3e
err_array_incomplete_or_sizeless_type,Sema,false,false,3,3,2,c|c++,ffmpeg|llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,3,fuzzlang-v2-42e5f6643bcea0f6|fuzzlang-v2-52613fc07c7d66f7
err_array_init_different_type,Sema,true,false,2,2,2,c,ffmpeg,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-9b1b5c517d412d26|fuzzlang-v1-ad953418631785c8
err_array_init_incompat_wide_string_into_wchar,Sema,false,false,2,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_array_init_narrow_string_into_wchar,Sema,true,false,4,2,1,c++,llvm,gemma_code_witness_bootstrap|synthesized_injector_campaign,2,fuzzlang-v1-7c01a66982228f67
err_array_init_not_init_list,Sema,true,false,4,4,2,c++,llvm,gemma_code_witness_bootstrap|gemma_code_witness_injector_replay|synthesized_injector_campaign,4,fuzzlang-v1-2c19a6d88133ca58|fuzzlang-v1-b207ff0fd14c6106
err_array_init_plain_string_into_char8_t,Sema,true,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-5ad012054dcae8c8
err_array_init_wide_string_into_char,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-c56cc216e1803549
err_array_new_needs_size,Sema,true,false,3,3,2,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,3,fuzzlang-v2-06064681afafe188|fuzzlang-v2-9d5f060a306bf984
err_array_of_abstract_type,Sema,true,false,4,4,2,c++,llvm,gemma_code_witness_bootstrap|gemma_code_witness_injector_replay|synthesized_injector_campaign,4,fuzzlang-v1-52e9530f7af94b25|fuzzlang-v1-e172479598144a03
err_array_size_ambiguous_conversion,Sema,true,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-27a4047fae5baf63
err_array_size_non_int,Sema,true,false,4,3,4,c,ffmpeg,gemma_code_witness_injector_replay|synthesized_injector_campaign,4,fuzzlang-v1-5963d1aa3152ae42|fuzzlang-v1-fb17bdd25d9f92d1|fuzzlang-v2-26a4c86ac8e3d29a|fuzzlang-v2-eecce7e9b76ab316
err_array_star_in_function_definition,Sema,true,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_array_star_outside_prototype,Sema,true,false,3,2,3,c|c++,ffmpeg|llvm,synthesized_injector_campaign,3,fuzzlang-v1-64ffa19f8d29e621|fuzzlang-v1-aae613382234eea1|fuzzlang-v2-b7ec378af70f8b87
err_array_static_not_outermost,Sema,true,false,2,2,1,c,ffmpeg,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-1080a0c746d37618
err_array_static_outside_prototype,Sema,true,false,2,2,1,c,ffmpeg,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-3796d2f26a66ddc6
err_array_too_large,Sema,true,false,2,2,1,c,ffmpeg,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-f6b9c204a024dd99
err_as_qualified_auto_decl,Sema,false,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_asm_duplicate_qual,Parse,true,false,3,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_asm_expected_string,Parse,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-6789cf3e70246692
err_asm_input_duplicate_match,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-873ed0ce8309fc2a
err_asm_invalid_global_var_reg,Sema,true,true,2,2,1,c,ffmpeg,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-dd14299c8fdebdd6
err_asm_invalid_input_constraint,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_bootstrap|synthesized_injector_campaign,2,fuzzlang-v1-436ac995f60c5da8
err_asm_invalid_lvalue_in_input,Sema,true,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_asm_invalid_lvalue_in_output,Sema,true,true,1,1,1,c,ffmpeg,synthesized_injector_campaign,1,fuzzlang-v2-18f6a6e41eb29637
err_asm_invalid_output_constraint,Sema,true,false,3,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_asm_invalid_type_in_input,Common,true,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-d1bc448d859ec590
err_asm_naked_parm_ref,Sema,false,false,3,3,2,c++,llvm,gemma_append_witness_injector_replay|gemma_code_witness_injector_replay|synthesized_injector_campaign,3,fuzzlang-v2-30724a10a5807b6d|fuzzlang-v2-d78ff3ac5efaa0bf
err_asm_naked_this_ref,Sema,false,false,3,3,2,c++,llvm,gemma_append_witness_injector_replay|gemma_code_witness_injector_replay|synthesized_injector_campaign,3,fuzzlang-v2-316391bf97f2a106|fuzzlang-v2-c0a8e2dbe3449469
err_asm_non_addr_value_in_memory_constraint,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-fb90b18cab8b1a2c
err_asm_operand_empty_string,Sema,true,false,1,1,1,c,ffmpeg,gemma_append_witness_injector_replay,1,fuzzlang-v2-6b6a54d125bf551a
err_asm_operand_wide_string_literal,Parse,true,false,2,2,2,c,ffmpeg,gemma_append_witness_injector_replay|gemma_code_witness_injector_replay,2,fuzzlang-v1-b12a5fe4d824c6f0|fuzzlang-v2-2c61e71b25db98e6
err_asm_pmf_through_constraint_not_permitted,Sema,true,false,1,1,1,c++,llvm,gemma_code_witness_injector_replay,1,fuzzlang-v1-b29769951d96bb8e
err_asm_qualifier_ignored,Parse,true,false,8,7,5,c|c++,ffmpeg|llvm,gemma_append_witness_injector_replay|gemma_code_witness_injector_replay|synthesized_injector_campaign,5,fuzzlang-v1-56e330dd185f959f|fuzzlang-v1-67c536f9471375e1|fuzzlang-v2-10323b5ce5173661|fuzzlang-v2-173388c060f80914|fuzzlang-v2-671d0630f536d40c
err_asm_register_size_mismatch,Sema,true,true,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-04c0e4fe25e1456e
err_asm_tying_incompatible_types,Sema,false,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-52044e3172ce7825
err_asm_unexpected_constraint_alternatives,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-61e0fd869a47f83a
err_asm_unknown_register_name,Sema,true,false,2,2,1,c|c++,ffmpeg|llvm,gemma_code_witness_bootstrap|synthesized_injector_campaign,2,fuzzlang-v2-d114c9fcdea52d0e
err_asm_unsupported_register_type,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-0b91fabfbc43eb85
err_assoc_compatible_types,Sema,false,false,2,2,1,c++,llvm,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-8ea1bbc253280daa
err_assoc_type_nonobject,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-8e635134bc362e93
err_assoc_type_variably_modified,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-f3c963c867d7009e
err_assume_attr_expects_cond_expr,Parse,true,false,2,2,1,c,ffmpeg,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-4532b58c0d6b8eac
err_atomic_builtin_bit_int_prohibit,Sema,true,false,1,1,1,c,ffmpeg,synthesized_injector_campaign,1,fuzzlang-v1-a978de3ce2224964
err_atomic_builtin_cannot_be_const,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-752df40442fc15a0
err_atomic_builtin_ext_int_size,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-e58a96f96c8ab916
err_atomic_builtin_must_be_pointer,Sema,true,false,6,6,5,c|c++,ffmpeg|llvm,gemma_append_witness_injector_replay|gemma_code_witness_injector_replay|synthesized_injector_campaign,5,fuzzlang-v1-4c93b0c850430c7d|fuzzlang-v1-6183a4713ec60a24|fuzzlang-v2-11c395b0f9f409be|fuzzlang-v2-e1caa4ef3068093a|fuzzlang-v2-ffa1a25669ca475c
err_atomic_builtin_must_be_pointer_intptr,Sema,true,false,1,1,1,c++,,synthesized_injector_campaign,1,fuzzlang-v2-8f13865f570b932a
err_atomic_op_has_invalid_sync_scope,Sema,true,false,4,4,3,c|c++,ffmpeg|llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,4,fuzzlang-v2-1446d33a6d055ee9|fuzzlang-v2-455453820c2b418c|fuzzlang-v2-ece28eb93db4c636
err_atomic_op_needs_atomic,Sema,true,false,6,4,4,c|c++,ffmpeg|llvm,gemma_append_witness_injector_replay|gemma_code_witness_injector_replay|synthesized_injector_campaign,6,fuzzlang-v1-08cfde3d525c0976|fuzzlang-v2-6745aad6d521d30f|fuzzlang-v2-7d355f6b6a3cae26|fuzzlang-v2-cee28d08fa96c3fc
err_atomic_op_needs_atomic_int_ptr_or_fp,Sema,true,false,15,13,1,c++,abseil|llvm,synthesized_injector_campaign,2,fuzzlang-v1-5f6c3f1ed7884c56
err_atomic_op_needs_non_const_atomic,Sema,true,false,2,2,2,c,ffmpeg,gemma_code_witness_injector_replay,1,fuzzlang-v1-2834927d568eb8e5|fuzzlang-v1-744ed08fb06263f9
err_atomic_op_needs_non_const_pointer,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_bootstrap|synthesized_injector_campaign,2,fuzzlang-v1-29f730bd4d71e7cf
err_atomic_specifier_bad_type,Sema,true,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-cc2895529991af09
err_attr_codemodel_arg,Sema,false,false,2,2,1,c++,llvm,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-03ca85ed9ae5e00f
err_attr_cond_never_constant_expr,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-b6c2b1900ce1b7da
err_attr_swift_error_no_error_parameter,Sema,false,false,2,2,1,c++,llvm,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-5e6be35ac2052520
err_attribute_address_function_type,Sema,false,false,1,1,1,c,ffmpeg,gemma_append_witness_injector_replay,1,fuzzlang-v2-87b98847fa7f40e9
err_attribute_address_multiple_qualifiers,Sema,false,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_attribute_aligned_too_great,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-f7d85fe09452ab96
err_attribute_argument_invalid,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-51c0bed1dfeadccf
err_attribute_argument_is_zero,Sema,true,false,2,2,1,c,ffmpeg,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-d833ee809d40d7c1
err_attribute_argument_n_type,Sema,true,false,1,1,1,c++,llvm,synthesized_injector_campaign,1,fuzzlang-v2-f5b0084757f69a21
err_attribute_argument_out_of_bounds,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-b7a1905ca13cb755
err_attribute_argument_out_of_bounds_extra_info,Sema,true,false,1,1,1,c,ffmpeg,gemma_append_witness_injector_replay,1,fuzzlang-v2-6fcb5477c5e2e6a8
err_attribute_argument_out_of_range,Sema,true,true,2,2,1,c,ffmpeg,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-ccb341a06fec6c38
err_attribute_argument_parm_pack_not_supported,Parse,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-619098b17d70eef4
err_attribute_argument_type,Sema,true,false,1,1,1,c,ffmpeg,gemma_append_witness_injector_replay,1,fuzzlang-v2-4b4d70e378fbd41a
err_attribute_cleanup_arg_not_function,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_bootstrap|synthesized_injector_campaign,2,fuzzlang-v2-4e13a1f8e17a679a
err_attribute_cleanup_func_arg_incompatible_type,Sema,false,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-a84392e1c32d0f8a
err_attribute_cleanup_func_must_take_one_arg,Sema,true,false,1,1,1,c++,llvm,gemma_code_witness_injector_replay,1,fuzzlang-v1-59740c81c6219e3d
err_attribute_integers_only,Sema,true,true,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-31efc22aaf08b4ba
err_attribute_invalid_argument,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-174fc472d29050c2
err_attribute_invalid_bitint_vector_type,Sema,true,false,2,2,1,c,ffmpeg,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-e0303671bbae1384
err_attribute_invalid_implicit_this_argument,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-6f48d3338fe1283d
err_attribute_invalid_on_decl,Sema,true,false,3,3,2,c|c++,ffmpeg|llvm,gemma_code_witness_bootstrap|synthesized_injector_campaign,3,fuzzlang-v1-434afd06ac5e772a|fuzzlang-v2-9f1df8ae6e08de1f
err_attribute_invalid_size,Sema,true,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_attribute_invalid_vector_type,Sema,true,false,3,3,2,c|c++,ffmpeg|llvm,gemma_code_witness_injector_replay|synthesized_injector_campaign,3,fuzzlang-v1-470c75c984d4e14f|fuzzlang-v2-b9006db7a27b1e70
err_attribute_malloc_arg_not_function,Sema,true,false,1,1,1,c++,llvm,gemma_code_witness_injector_replay,1,fuzzlang-v1-eec08a1ec27f7682
err_attribute_malloc_arg_not_function_with_pointer_arg,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-406843c2a2ada8db
err_attribute_malloc_arg_refers_to_non_pointer_type,Sema,true,false,1,1,1,c++,llvm,gemma_code_witness_injector_replay,1,fuzzlang-v1-8752060a929bde1a
err_attribute_missing_on_first_decl,Sema,true,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-46c3cc48b518a3cd
err_attribute_no_builtin_on_defaulted_deleted_function,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v1-7992db9694d28f35
err_attribute_no_builtin_on_non_definition,Sema,true,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_attribute_no_builtin_wildcard_or_builtin_name,Sema,true,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-e82afaf759d416f0
err_attribute_no_member_function,Sema,true,false,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-373c33916d55b69d
err_attribute_not_supported_in_lang,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-75cfb7a44ffa3071
err_attribute_not_type_attr,Common,true,false,6,4,3,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,5,fuzzlang-v2-11052d98dafc0f4f|fuzzlang-v2-2a8f3b44eda62c21|fuzzlang-v2-be28a79aeb7c2452
err_attribute_not_typedef_for_specialization,Sema,true,true,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-5431520df174bcfc
err_attribute_only_once_per_parameter,Sema,true,true,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-4984723ab8ccb5fc
err_attribute_output_parameter,Sema,true,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-c55aff7d0a548800
err_attribute_parameter_types,Sema,true,false,1,1,1,c,ffmpeg,synthesized_injector_campaign,1,fuzzlang-v2-69e49ea9a361f167
err_attribute_regparm_invalid_number,Sema,false,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_attribute_requires_arguments,Parse,true,false,2,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
err_attribute_requires_positive_integer,Sema,true,true,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-3e82b8d7227d6b03
err_attribute_sentinel_less_than_zero,Sema,true,false,1,1,0,c++,llvm,gemma_code_witness_bootstrap,1,
